,subject,parameter,value,IDs
379,20,$\beta$,2.9354105,43
380,21,$\beta$,3.287358,64
381,22,$\beta$,2.4815297,58
382,23,$\beta$,2.9784997,48
383,24,$\beta$,2.5371773,29
384,25,$\beta$,2.638463,45
385,26,$\beta$,2.4226644,28
386,27,$\beta$,2.074037,39
387,28,$\beta$,2.1179204,44
388,29,$\beta$,2.4797251,57
389,30,$\beta$,2.3955364,35
390,31,$\beta$,3.5243368,30
391,32,$\beta$,1.5229573,31
392,33,$\beta$,1.4420874,61
393,34,$\beta$,2.4596045,47
394,35,$\beta$,1.9089754,65
395,36,$\beta$,2.1219032,52
396,37,$\beta$,2.746886,62
397,38,$\beta$,2.659051,34
398,39,$\beta$,1.5047399,60
399,40,$\beta$,2.3263485,38
400,1,$\beta$,1.9657655,25
401,2,$\beta$,2.238539,32
402,3,$\beta$,3.359051,33
403,4,$\beta$,2.430974,27
404,5,$\beta$,2.72593,51
405,6,$\beta$,3.5199392,55
406,7,$\beta$,4.0544753,63
407,8,$\beta$,2.015517,37
408,9,$\beta$,1.544104,50
409,10,$\beta$,2.1833694,42
410,11,$\beta$,1.7637901,56
411,12,$\beta$,2.3977437,49
412,13,$\beta$,1.7194072,40
413,14,$\beta$,1.2178961,54
414,15,$\beta$,1.7463658,66
415,16,$\beta$,2.2023246,67
416,17,$\beta$,1.6625872,46
417,18,$\beta$,2.0802102,24
418,19,$\beta$,2.9353044,23
419,20,$\beta$,2.541402,43
420,21,$\beta$,2.1836526,64
421,22,$\beta$,2.253711,58
422,23,$\beta$,3.1565788,48
423,24,$\beta$,2.8314464,29
424,25,$\beta$,2.4679818,45
425,26,$\beta$,1.9674126,28
426,27,$\beta$,1.9422647,39
427,28,$\beta$,2.5073133,44
428,29,$\beta$,2.955402,57
429,30,$\beta$,1.8561747,35
430,31,$\beta$,2.5524678,30
431,32,$\beta$,1.9823089,31
432,33,$\beta$,1.7826477,61
433,34,$\beta$,2.2555368,47
434,35,$\beta$,2.271253,65
435,36,$\beta$,1.7132555,52
436,37,$\beta$,2.029306,62
437,38,$\beta$,2.4461498,34
438,39,$\beta$,1.6537067,60
439,40,$\beta$,1.7422577,38
440,1,$\beta$,1.9830354,25
441,2,$\beta$,3.155528,32
442,3,$\beta$,1.8864151,33
443,4,$\beta$,3.3473303,27
444,5,$\beta$,3.151656,51
445,6,$\beta$,3.769335,55
446,7,$\beta$,3.425984,63
447,8,$\beta$,1.9805157,37
448,9,$\beta$,1.8223305,50
449,10,$\beta$,2.1410291,42
450,11,$\beta$,1.8469051,56
451,12,$\beta$,2.1471736,49
452,13,$\beta$,1.9284333,40
453,14,$\beta$,1.1498514,54
454,15,$\beta$,2.0305085,66
455,16,$\beta$,1.9700845,67
456,17,$\beta$,2.173888,46
457,18,$\beta$,1.863509,24
458,19,$\beta$,2.6966078,23
459,20,$\beta$,2.4771004,43
460,21,$\beta$,2.193172,64
461,22,$\beta$,2.0872564,58
462,23,$\beta$,2.621156,48
463,24,$\beta$,2.734274,29
464,25,$\beta$,2.7071905,45
465,26,$\beta$,1.9682451,28
466,27,$\beta$,2.629809,39
467,28,$\beta$,2.1796193,44
468,29,$\beta$,2.029353,57
469,30,$\beta$,2.0857332,35
470,31,$\beta$,2.835163,30
471,32,$\beta$,1.2338693,31
472,33,$\beta$,1.6982043,61
473,34,$\beta$,2.109524,47
474,35,$\beta$,2.7555976,65
475,36,$\beta$,1.965228,52
476,37,$\beta$,1.6617763,62
477,38,$\beta$,3.3159537,34
478,39,$\beta$,1.8622379,60
479,40,$\beta$,2.77974,38
480,1,$\beta$,1.5157945,25
481,2,$\beta$,2.6559575,32
482,3,$\beta$,2.6069162,33
483,4,$\beta$,2.778852,27
484,5,$\beta$,2.383169,51
485,6,$\beta$,3.2487729,55
486,7,$\beta$,2.7699523,63
487,8,$\beta$,2.1661,37
488,9,$\beta$,1.7131162,50
489,10,$\beta$,2.5356486,42
490,11,$\beta$,1.8378457,56
491,12,$\beta$,2.5467262,49
492,13,$\beta$,1.4067922,40
493,14,$\beta$,1.0727673,54
494,15,$\beta$,1.6373929,66
495,16,$\beta$,2.1145773,67
496,17,$\beta$,2.228559,46
497,18,$\beta$,2.018768,24
498,19,$\beta$,2.83955,23
499,20,$\beta$,2.9342084,43
500,21,$\beta$,2.0125344,64
501,22,$\beta$,2.4894438,58
502,23,$\beta$,2.7027943,48
503,24,$\beta$,2.8524303,29
504,25,$\beta$,2.972525,45
505,26,$\beta$,1.9050925,28
506,27,$\beta$,2.7357316,39
507,28,$\beta$,1.6614867,44
508,29,$\beta$,2.645586,57
509,30,$\beta$,2.159392,35
510,31,$\beta$,3.0012934,30
511,32,$\beta$,1.3059669,31
512,33,$\beta$,1.4284765,61
513,34,$\beta$,3.377583,47
514,35,$\beta$,2.3707263,65
515,36,$\beta$,1.9128519,52
516,37,$\beta$,2.136898,62
517,38,$\beta$,2.3254113,34
518,39,$\beta$,1.5956905,60
519,40,$\beta$,2.4269974,38
520,1,$\beta$,1.647432,25
521,2,$\beta$,2.8536367,32
522,3,$\beta$,2.5752027,33
523,4,$\beta$,2.157068,27
524,5,$\beta$,1.9761193,51
525,6,$\beta$,3.492492,55
526,7,$\beta$,2.9745681,63
527,8,$\beta$,1.9281087,37
528,9,$\beta$,2.0803647,50
529,10,$\beta$,2.3393319,42
530,11,$\beta$,1.825342,56
531,12,$\beta$,2.3982244,49
532,13,$\beta$,1.5181125,40
533,14,$\beta$,1.308212,54
534,15,$\beta$,1.6950762,66
535,16,$\beta$,2.0697575,67
536,17,$\beta$,2.233718,46
537,18,$\beta$,2.1225955,24
538,19,$\beta$,2.8499084,23
539,20,$\beta$,2.958263,43
540,21,$\beta$,2.7867575,64
541,22,$\beta$,2.8059537,58
542,23,$\beta$,2.0133226,48
543,24,$\beta$,2.5114052,29
544,25,$\beta$,2.3192215,45
545,26,$\beta$,2.283381,28
546,27,$\beta$,2.0578003,39
547,28,$\beta$,1.9271917,44
548,29,$\beta$,2.4351037,57
549,30,$\beta$,2.165706,35
550,31,$\beta$,2.113276,30
551,32,$\beta$,1.5602934,31
552,33,$\beta$,1.3970323,61
553,34,$\beta$,2.4030619,47
554,35,$\beta$,2.4346688,65
555,36,$\beta$,2.3939612,52
556,37,$\beta$,2.5542614,62
557,38,$\beta$,2.7752943,34
558,39,$\beta$,1.7520436,60
559,40,$\beta$,1.8492683,38
560,1,$\beta$,1.7903811,25
561,2,$\beta$,2.6649792,32
562,3,$\beta$,2.5066578,33
563,4,$\beta$,2.8359501,27
564,5,$\beta$,2.3953853,51
565,6,$\beta$,3.7829993,55
566,7,$\beta$,2.798554,63
567,8,$\beta$,2.0270498,37
568,9,$\beta$,1.9185822,50
569,10,$\beta$,2.2064183,42
570,11,$\beta$,1.7721272,56
571,12,$\beta$,2.3768756,49
572,13,$\beta$,1.6757488,40
573,14,$\beta$,1.2736712,54
574,15,$\beta$,1.5621094,66
575,16,$\beta$,2.037656,67
576,17,$\beta$,2.4791152,46
577,18,$\beta$,1.7432071,24
578,19,$\beta$,2.3235343,23
579,20,$\beta$,2.5241137,43
580,21,$\beta$,2.4830525,64
581,22,$\beta$,2.3383496,58
582,23,$\beta$,3.0860593,48
583,24,$\beta$,2.5322828,29
584,25,$\beta$,2.698626,45
585,26,$\beta$,2.0265772,28
586,27,$\beta$,3.199859,39
587,28,$\beta$,1.7889546,44
588,29,$\beta$,2.5365617,57
589,30,$\beta$,2.5794485,35
590,31,$\beta$,2.5128973,30
591,32,$\beta$,1.5654294,31
592,33,$\beta$,1.8690068,61
593,34,$\beta$,2.5430655,47
594,35,$\beta$,2.010158,65
595,36,$\beta$,1.9648495,52
596,37,$\beta$,2.141732,62
597,38,$\beta$,2.8411753,34
598,39,$\beta$,1.6885086,60
599,40,$\beta$,2.1741457,38
600,1,$\beta$,1.569582,25
601,2,$\beta$,2.08001,32
602,3,$\beta$,3.571526,33
603,4,$\beta$,2.5080545,27
604,5,$\beta$,2.4696567,51
605,6,$\beta$,3.5889611,55
606,7,$\beta$,2.7390847,63
607,8,$\beta$,1.9286559,37
608,9,$\beta$,1.8385228,50
609,10,$\beta$,2.4380507,42
610,11,$\beta$,1.4559121,56
611,12,$\beta$,2.4978702,49
612,13,$\beta$,1.5268252,40
613,14,$\beta$,1.5258281,54
614,15,$\beta$,1.7332946,66
615,16,$\beta$,2.86645,67
616,17,$\beta$,2.322771,46
617,18,$\beta$,2.0555048,24
618,19,$\beta$,2.9089906,23
619,20,$\beta$,2.5778294,43
620,21,$\beta$,1.9607122,64
621,22,$\beta$,2.1025536,58
622,23,$\beta$,2.1522706,48
623,24,$\beta$,2.7386336,29
624,25,$\beta$,2.3492107,45
625,26,$\beta$,1.983051,28
626,27,$\beta$,2.0163383,39
627,28,$\beta$,2.420976,44
628,29,$\beta$,2.2243755,57
629,30,$\beta$,2.407972,35
630,31,$\beta$,2.298376,30
631,32,$\beta$,1.7930037,31
632,33,$\beta$,1.1796994,61
633,34,$\beta$,2.346051,47
634,35,$\beta$,3.0212138,65
635,36,$\beta$,2.1507752,52
636,37,$\beta$,2.6499975,62
637,38,$\beta$,3.5282888,34
638,39,$\beta$,1.6146079,60
639,40,$\beta$,1.6144373,38
640,1,$\beta$,1.4027001,25
641,2,$\beta$,1.9280661,32
642,3,$\beta$,2.1639667,33
643,4,$\beta$,3.063753,27
644,5,$\beta$,3.0925925,51
645,6,$\beta$,4.743922,55
646,7,$\beta$,3.6646361,63
647,8,$\beta$,1.6455178,37
648,9,$\beta$,2.0448885,50
649,10,$\beta$,2.2825775,42
650,11,$\beta$,1.454276,56
651,12,$\beta$,2.330898,49
652,13,$\beta$,1.655722,40
653,14,$\beta$,1.0089196,54
654,15,$\beta$,1.9932014,66
655,16,$\beta$,2.1139567,67
656,17,$\beta$,2.1693187,46
657,18,$\beta$,2.8278,24
658,19,$\beta$,2.8206158,23
659,20,$\beta$,3.2006516,43
660,21,$\beta$,3.0189164,64
661,22,$\beta$,2.2297938,58
662,23,$\beta$,2.6633217,48
663,24,$\beta$,2.5454795,29
664,25,$\beta$,2.9325166,45
665,26,$\beta$,1.815587,28
666,27,$\beta$,2.508502,39
667,28,$\beta$,1.7567661,44
668,29,$\beta$,2.6012793,57
669,30,$\beta$,2.2915463,35
670,31,$\beta$,2.324523,30
671,32,$\beta$,1.7133032,31
672,33,$\beta$,1.5240117,61
673,34,$\beta$,2.2102144,47
674,35,$\beta$,2.0076149,65
675,36,$\beta$,2.35422,52
676,37,$\beta$,1.7500082,62
677,38,$\beta$,3.2226927,34
678,39,$\beta$,1.5152541,60
679,40,$\beta$,2.0479763,38
680,1,$\beta$,1.6550666,25
681,2,$\beta$,2.234683,32
682,3,$\beta$,2.6993694,33
683,4,$\beta$,2.5791764,27
684,5,$\beta$,2.5602732,51
685,6,$\beta$,3.3747675,55
686,7,$\beta$,2.6072085,63
687,8,$\beta$,2.2060251,37
688,9,$\beta$,1.6137712,50
689,10,$\beta$,2.5877237,42
690,11,$\beta$,1.8338103,56
691,12,$\beta$,2.071076,49
692,13,$\beta$,1.685091,40
693,14,$\beta$,1.0055448,54
694,15,$\beta$,2.1637776,66
695,16,$\beta$,1.7081885,67
696,17,$\beta$,1.947875,46
697,18,$\beta$,2.4940426,24
698,19,$\beta$,2.755347,23
699,20,$\beta$,3.1698227,43
700,21,$\beta$,1.7251768,64
701,22,$\beta$,2.469533,58
702,23,$\beta$,3.0871878,48
703,24,$\beta$,2.4840791,29
704,25,$\beta$,1.9765501,45
705,26,$\beta$,2.1724067,28
706,27,$\beta$,2.0465894,39
707,28,$\beta$,1.7627652,44
708,29,$\beta$,2.180116,57
709,30,$\beta$,2.440015,35
710,31,$\beta$,2.5011396,30
711,32,$\beta$,1.7761062,31
712,33,$\beta$,1.6394081,61
713,34,$\beta$,2.2668126,47
714,35,$\beta$,2.247711,65
715,36,$\beta$,1.7294625,52
716,37,$\beta$,1.8072103,62
717,38,$\beta$,2.9728098,34
718,39,$\beta$,1.5541171,60
719,40,$\beta$,2.6791813,38
720,1,$\beta$,1.5951905,25
721,2,$\beta$,2.2202597,32
722,3,$\beta$,3.001789,33
723,4,$\beta$,2.2789156,27
724,5,$\beta$,2.672178,51
725,6,$\beta$,5.282734,55
726,7,$\beta$,2.6699467,63
727,8,$\beta$,1.9598767,37
728,9,$\beta$,1.6160377,50
729,10,$\beta$,1.8416595,42
730,11,$\beta$,1.607693,56
731,12,$\beta$,2.4346514,49
732,13,$\beta$,1.8027464,40
733,14,$\beta$,1.0860338,54
734,15,$\beta$,2.0706747,66
735,16,$\beta$,1.6790708,67
736,17,$\beta$,1.7564759,46
737,18,$\beta$,2.6183736,24
738,19,$\beta$,2.8517606,23
739,20,$\beta$,2.659608,43
740,21,$\beta$,2.4458802,64
741,22,$\beta$,2.6100743,58
742,23,$\beta$,2.705443,48
743,24,$\beta$,2.4615872,29
744,25,$\beta$,3.0555096,45
745,26,$\beta$,1.7249504,28
746,27,$\beta$,2.4271595,39
747,28,$\beta$,2.1284122,44
748,29,$\beta$,2.3048902,57
749,30,$\beta$,2.5467238,35
750,31,$\beta$,3.8627985,30
751,32,$\beta$,1.5016316,31
752,33,$\beta$,1.5685903,61
753,34,$\beta$,2.212966,47
754,35,$\beta$,2.352739,65
755,36,$\beta$,2.3281991,52
756,37,$\beta$,1.8219296,62
757,38,$\beta$,2.6300097,34
758,39,$\beta$,1.9710543,60
759,40,$\beta$,2.0561235,38
760,1,$\beta$,1.9504064,25
761,2,$\beta$,2.759947,32
762,3,$\beta$,3.8071165,33
763,4,$\beta$,3.4415648,27
764,5,$\beta$,2.4391472,51
765,6,$\beta$,3.2309608,55
766,7,$\beta$,3.2718093,63
767,8,$\beta$,1.5994625,37
768,9,$\beta$,1.5332795,50
769,10,$\beta$,2.0228355,42
770,11,$\beta$,1.9873438,56
771,12,$\beta$,1.7865031,49
772,13,$\beta$,2.1159139,40
773,14,$\beta$,1.7557853,54
774,15,$\beta$,1.6645904,66
775,16,$\beta$,1.8511678,67
776,17,$\beta$,2.4426022,46
777,18,$\beta$,2.4002435,24
778,19,$\beta$,2.7049823,23
779,20,$\beta$,2.4421546,43
780,21,$\beta$,2.185741,64
781,22,$\beta$,2.3280172,58
782,23,$\beta$,2.661475,48
783,24,$\beta$,2.734248,29
784,25,$\beta$,2.4243553,45
